TitleID,Description,ProductCode,Version,Region,CoverURL
,,,,,
00050000-101FB500 ,140,WUP-P-AJWP ,,EUR ,
00050000-101FA800 ,140,WUP-N-AJWE ,,USA ,
00050000-101DE400 ,? ??????? ?? ?????:???? ,WUP-N-BRXJ ,v1 ,JAP ,
00050000-1014D200 ,? ~?????~ ,WUP-N-AL5J ,v1 ,JAP ,
00050000-10196700 ,?-????? ,126,v0 ,JAP ,
00050000-10149700 ,?? ?? ,WUP-N-WAUJ ,v16 ,JAP ,
00050000-10178000 ,?? ????? ?? ,WUP-N-JCQJ ,v0 ,JAP ,
00050000-10174C00 ,?? ????? ?? ,WUP-N-JCMJ ,v0 ,JAP ,
00050000-10180500 ,??!?????? ,WUP-N-AKBJ ,v0 ,JAP ,
00050000-101A2700 ,??? ,WUP-N-WDLJ ,v0 ,JAP ,
00050000-10140900 ,??? ,WUP-N-WCEJ ,v0 ,JAP ,
00050000-10102900 ,??? ,WUP-N-WALJ ,v32 ,JAP ,
00050000-101B7400 ,??? ,WUP-N-VA5J ,v0 ,JAP ,
00050000-101E2800 ,??? ,WUP-N-PPPJ ,,JAP ,
00050000-10168700 ,??? ,WUP-N-MNGJ ,v1 ,JAP ,
00050000-10160200 ,??? ,WUP-N-JCEJ ,v0 ,JAP ,
00050000-1014AA00 ,??? ,WUP-N-FBSJ ,v0 ,JAP ,
00050000-10149B00 ,??? ,WUP-N-FBMJ ,v0 ,JAP ,
00050000-10134300 ,??? ,WUP-N-FBHJ ,v0 ,JAP ,
00050000-10133C00 ,??? ,WUP-N-FBEJ ,v0 ,JAP ,
00050000-10156C00 ,??? ?? ??? ,WUP-N-PACJ ,v0 ,JAP ,
00050000-10178800 ,??? ?? ???? ???? ,WUP-N-JCVJ ,v0 ,JAP ,
00050000-10157900 ,??? ?? ????? ???? ,WUP-P-ACPJ ,v112 ,JAP ,
00050000-10134A00 ,??? ?? ????? ???? ,WUP-N-JBEJ ,v0 ,JAP ,
00050000-1011B400 ,??? ?? ????? ???????II ,WUP-P-AECJ ,v96 ,JAP ,
00050000-101B0900 ,??? ?????? ,WUP-N-VALJ ,v0 ,JAP ,
00050000-101B4700 ,??? ?????? ,WUP-N-NAMJ ,v0 ,JAP ,
00050000-1012FC00 ,??? ?????? ,WUP-N-FBBJ ,v0 ,JAP ,
00050000-1018E000 ,??? ?????? ???????? ,WUP-N-AZBJ ,v2 ,JAP ,
00050000-101AE900 ,??? ????????? ????? ,WUP-N-PCTJ ,v0 ,JAP ,
00050000-101C5800 ,??? POKKÉN TOURNAMENT ,WUP-N-APKJ ,v16 ,JAP ,
00050000-1015CA00 ,???!! ????? ,WUP-N-PNXJ ,v0 ,JAP ,
00050000-1016BA00 ,???!!???? ,WUP-N-FC2J ,v0 ,JAP ,
00050000-10113600 ,???!???!???! ,WUP-P-ATKJ ,v0 ,JAP ,
00050000-1012F200 ,???!???!???! (DL) ,WUP-N-WAKJ ,v0 ,JAP ,
00050000-101B8800 ,???!???? ,WUP-N-DAQJ ,v0 ,JAP ,
00050000-10188B00 ,???!???? ????????? ,WUP-N-AXYJ ,v16 ,JAP ,
00050000-101B4100 ,???!amiibo ????????????? ,WUP-N-AAVJ ,v0 ,JAP ,
00050000-1015C800 ,???? ,WUP-N-PNVJ ,v0 ,JAP ,
00050000-101D0D00 ,???? ,WUP-N-PDHJ ,,JAP ,
00050000-10197000 ,???? ,WUP-N-PB3J ,v0 ,JAP ,
00050000-10195200 ,???? ,WUP-N-MNXJ ,,JAP ,
00050000-10168B00 ,???? ,WUP-N-MNLJ ,,JAP ,
00050000-10168800 ,???? ,WUP-N-MNHJ ,v0 ,JAP ,
00050000-10168600 ,???? ,WUP-N-MNFJ ,v0 ,JAP ,
00050000-10191000 ,???? ,WUP-N-JC9J ,v0 ,JAP ,
00050000-10134600 ,???? ,WUP-N-JBCJ ,v0 ,JAP ,
